1287,823
1287,769
1287,715
1287,661
1287,607
1341,607
1341,661
1341,715
1341,769
1341,823
1395,823
1395,769
1395,715
1395,661
1395,607
1449,607
1449,661
1449,715
1449,769
1449,823
1503,823
1503,769
1503,715
1503,661
1503,607
1557,607
1557,661
1557,715
1557,769
1557,823
1611,823
1611,769
1611,715
1611,661
1611,607
1665,607
1665,661
1665,715
1665,769
1665,823
1719,823
1719,769
1719,715
1719,661
1719,607
1773,607
1773,661
1773,715
1773,769
1773,823
1827,823
1827,769
1827,715
1827,661
1827,607
1881,607
1881,661
1881,715
1881,769
1881,823
